DATE,COMNAM,NCUSIP,PERMNO
19860423,ALBERTO CULVER CO,1306820,69163
19700210,ALBERTSONS INC,1310410,50032
19930723,ALBION BANC CORP,1328910,79368
19680102,ALCAN ALUMINUM LTD,1371610,24264
20010301,ALCAN INC,1371610,24264
19830526,ALCIDE CORP,1374210,11624
19921009,ALCIDE CORP,1374250,11624
19881208,ALCO INTERNATIONAL GROUP INC,1376010,12111
19911209,ALCO INTERNATIONAL GROUP INC,1376020,12111
19990104,ALCOA INC,1381710,24643
20161006,ALCOA INC,1381750,24643
19860228,ALEX BROWN INC,1390210,10071
19920520,ALCATEL ALSTHOM CO GENERAL D ELE,1390430,77604
19980916,ALCATEL,1390430,77604
20061201,ALCATEL LUCENT,1390430,77604
20020404,ALCATEL,1390450,89357
19721214,ALDEN ELECTR & IMPULSE REC EQPT,1408610,85252
19830613,ALDEN ELECTRONICS INC,1408610,85252
19920818,ALDEN PRESS CO,1429210,77864
20020103,ALDERWOODS GROUP INC,1438310,89266
19930608,ALDILA INC,1438410,79247
20020604,ALDILA INC,1438420,79247
19870616,ALDUS CORP,1443210,11422
19940525,ALERT CENTRE INC,01446T10,80588
19730529,ALEXANDER & ALEXANDER SVCS INC,1447610,63845
20041210,ALERIS INTERNATIONAL INC,1447710,75558
20120607,ALEXANDER & BALDWIN HLDGS INC,1448110,11691
20100715,ALERE INC,01449J10,89230
19811119,ALEXANDER ENERGY CORP,1461710,11704
19910617,ALEXANDER ENERGY CORP,1461720,11704
19960228,ALEXION PHARMACEUTICALS INC,1535110,83111
20060308,ALEXZA PHARMACEUTICALS INC,1538410,91154
20120613,ALEXZA PHARMACEUTICALS INC,1538420,91154
19870501,ALFA CORP,1538510,34498
19830920,ALFIN FRAGRANCES INC,1542610,69171
19861219,ALFIN INC,1542610,69171
20161129,ALGONQUIN POWER & UTILITIES CORP,1585710,16479
19960926,ALGOS PHARMACEUTICAL CORP,1586910,83922
19960903,ALIANT COMMUNICATIONS INC,1609010,49729
19721214,ALICO LAND DEV CO,1623010,11790
19740114,ALICO INC,1623010,11790
19950721,ALIGN RITE INTERNATIONAL INC,1625110,81878
20100422,ALIMERA SCIENCES INC,1625910,93339
19981214,ALL AMERICAN SPORTPARK INC,01643P10,81176
19910227,ALL AMERICAN COMMUNICATIONS INC,1648010,85287
19920323,ALL AMERICAN COMMUNICATIONS INC,1648020,85287
19951212,ALL AMERICAN COMMUNICATIONS INC,1648040,82661
19850918,ALL AMERICAN GOURMET CO,1650510,85279
19870805,ALL AMERICAN SEMICONDUCTOR INC,1655710,75554
19990602,ALL AMERICAN SEMICONDUCTOR INC,1655740,75554
19920505,ALL FOR A DOLLAR INC,01662K10,77574
19921125,ALL QUOTES INC,1663230,78103
19990122,ALLAIRE CORP,1671410,86565
19690102,ALLCITY INSURANCE CO,1675210,84276
19870508,ALLEGHENY LUDLUM CORP,1690010,75002
19951207,ALLEGRO NEW MEDIA INC,1690310,82669
19870130,ALLEGHANY CORP DE,1717510,71271
19810701,ALLEGHENY & WESTERN ENERGY CORP,1722710,11835
19971001,ALLEGHENY ENERGY INC,1736110,10137
19680102,ALLEGHENY POWER SYSTEMS INC,1741110,10137
19960816,ALLEGHENY TELEDYNE INC,1741510,43123
19991130,ALLEGHENY TECHNOLOGIES,01741R10,43123
19961001,ALLEGIANCE CORP,1747510,83977
19951003,ALLEGIANT BANCORP INC,1747610,82469
19940510,ALLEGIANCE BANC CORP,01747F10,80502
19970303,ALLEN TELECOM INC,1809110,44740
19890727,ALLERGAN INC,1849010,75646
19980311,ALLERGAN SPECIALTY THERAP INC,1849410,85856
19970605,ALLERGAN LIGAND RETND THERAP INC,01849P10,85000
19970211,ALLIANCE BANCORP INC,01852J10,77764
19941028,ALLIANCE ALL MARKET ADVTG FD INC,01852M10,81022
19971006,ALLIANCE BANCORP OF NEW ENG INC,01852Q10,10977
20020816,ALLIANCE BANKSHARES CORP,1853510,89263
20010608,ALLIANCE DATA SYSTEMS CORP,1858110,89002
19931201,ALLIANCE ENTERTAINMENT CORP,1859310,77611
19941227,ALLIANCE GAMING CORP,01859P10,38149
19990201,ALLIANCE GAMING CORP,01859P60,38149
19911108,ALLIANCE IMAGING INC DEL,1860610,77085
20010727,ALLIANCE IMAGING INC DE,1860620,89048
20090218,ALLIANCE HEALTHCARE SERVICES INC,1860620,89048
20121227,ALLIANCE HEALTHCARE SERVICES INC,1860630,89048
20001121,ALLIANCE FIBER OPTIC PRODS INC,1868010,88786
20100830,ALLIANCE FIBER OPTIC PRODS INC,1868030,88786
19890227,ALLIANCE PHARMACEUTICAL CORP,1877310,60090
20011018,ALLIANCE PHARMACEUTICAL CORP,1877330,60090
19841001,ALLIANCE WELL SVC INC,1879410,85295
19921030,ALLIANCE WORLD DOLLAR GOVT FD IN,1879610,78037
19930727,ALLIANCE WORLD DOLLAR GOVT FD II,01879R10,79461
20070129,ALLIANCEBERNSTEIN GLBL HIGH INC,01879R10,79461
19901024,ALLIANT TECHSYSTEMS INC,1880410,76477
20001103,ALLIANZ AKTIENGESELLSCHAFT,1880510,88815
20061016,ALLIANZ S E,1880510,88815
20060227,ALLIANCEBERNSTEIN HOLDING L P,01881G10,75278
19920709,ALLIED BANK CAPITAL INC,1887110,77766
19870318,ALLIED BANKSHARES INC GA,1888510,11186
20070131,ALLIANCE BANCORP INC PA,1892110,91731
19910326,ALLIED CAPITAL ADVISERS INC,1902510,76875
19920701,ALLIED CAPITAL COMMERCIAL CORP,1902910,77753
19721214,ALLIED CAPITAL CORP,1903310,11878
19891026,ALLIED CAPITAL CORP II,1903710,75836
19971231,ALLIED CAPITAL CORP NEW,01903Q10,79788
19931117,ALLIED CAPITAL LENDING CORP,1904210,79788
19900731,ALLIED CLINICAL LABORATORIES INC,1907610,76235
19950111,ALLIED DIGITAL TECHNOLOGIES CORP,01912P10,79593
19990121,ALLIANCE FINANCIAL CORP NY,1920510,86566
19870518,ALLIED GROUP INC,1922010,85201
19920114,ALLIED HEALTHCARE PRODUCTS INC,1922210,77259
20161207,ALLIED HEALTHCARE PRODUCTS INC,1922220,77259
19930929,ALLIED HOLDINGS INC,1922310,79591
20020610,ALLIED HEALTHCARE INTL INC,01923A10,78210
19931117,ALLIED LIFE FINANCIAL CORP,1924610,79789
20021120,ALLIED MOTION TECHNOLOGIES INC,1933010,41188
20070510,ALLIED NEVADA GOLD CORP,1934410,91976
19730309,ALLIED RESEARCH ASSOC INC,1948310,11923
19880526,ALLIED RESEARCH CORP,1948310,11923
19991029,ALLIED RISER COMMUNICATIONS CORP,1949610,87300
19850919,ALLIED SIGNAL INC,1951210,10145
19910910,ALLIED WASTE INDUSTRIES INC,1958920,76887
19920623,ALLIED WASTE INDUSTRIES INC,1958930,76887
20050622,ALLION HEALTHCARE INC,1961510,90717
19680102,ALLIS CHALMERS MFG CO,1964510,10153
